outliersremove,outliersmerge
2.03,2.04
4.02,4.01
10.01,20
12,20
14.01,2.04
16.04,229
16.06,16.05
18.01,18.02
22,27.02
34.01,33.02
43.01,69.02
47.02,47.01
56.01,54.01
57.01,54.01
58,54.01
59.08,59.07
59.13,59.11
59.14,59.11
60.01,64
63,64
66,65
67.02,65
69.01,69.02
101.05,101.06
102.01,101.06
102.02,118
111.04,111.05
111.06,111.07
119,131
130.01,131
130.04,130.03
141.02,141.01
143.04,143.02
144.03,144.06
144.05,144.06
147.04,147.01
147.05,145.01
147.07,151.07
147.08,151.07
147.1,147.09
149.06,149.08
149.07,149.08
151.06,151.05
161.07,161.08
170.08,170.07
180.03,180.04
181.1,181.13
181.15,181.16
182.02,182.04
182.06,183.05
183.08,504.09
183.09,183.05
187.05,187.04
187.07,187.15
188.02,188.01
189.07,188.04
190.01,190.03
191.07,190.03
205.01,210
206,210
224.01,231
226.03,221.04
227.01,221.04
227.02,1.01
228.03,228.04
235.04,235.02
239.01,238.02
250.01,260.06
251.02,251.01
260.1,285.02
260.11,260.06
260.12,285.02
280.01,286.02
280.02,286.02
286.01,286.02
286.03,286.02
287.02,292.01
287.1,287.11
287.12,286.02
287.13,286.02
287.14,286.02
287.15,287.06
287.16,286.02
290.06,290.04
290.07,290.04
400.07,400.06
400.08,400.06
400.09,400.04
402.04,404.02
403.06,403.01
403.07,403.01
500.01,502.07
500.02,502.07
502.05,502.06
503.06,503.03
503.08,183.06
504.07,504.05
504.11,501.01
504.12,501.01
504.13,504.09
504.14,403.01
504.15,403.01
505.03,505.01
505.04,505.01
182.03,182.04
188.06,251.01
185.22,185.21
187.16,187.15
191.06,190.03
